"","likelihood","prob_same","spiro_fit","slp_fit","slp","spiro"
"85",-490.733449675957,3.06776030524093e-197,5.50684595028664,5.13154395967648,5.1243,5.485
"86",-490.733449675957,3.06776030524093e-197,5.34791741801137,4.86844845061048,4.8508,5.3259
"87",-490.733449675957,3.06776030524093e-197,5.20043164760012,4.62487653182256,4.6011,5.1858
"88",-490.733449675957,3.06776030524093e-197,5.06636944639291,4.40302343980245,4.3808,5.0647
"89",-490.733449675957,3.06776030524093e-197,4.94771162172973,4.20508441103985,4.1946,4.9605
"90",-490.733449675957,3.06776030524093e-197,4.84643898095059,4.03325468202448,4.0466,4.8703
"91",-490.733449675957,3.06776030524093e-197,4.76453233139551,3.88972948924605,3.9312,4.7922
"92",-490.733449675957,3.06776030524093e-197,4.70397248040448,3.77670406919428,3.8,4.729
"93",-490.733449675957,3.06776030524093e-197,4.66674023531751,3.69637365835888,3.7015,4.6797
"94",-490.733449675957,3.06776030524093e-197,4.65481640347462,3.65093349322957,3.6426,4.6425
"95",-490.733449675957,3.06776030524093e-197,4.6701817922158,3.64257881029606,3.6279,4.6352
"96",-490.733449675957,3.06776030524093e-197,4.71481720888106,3.67350484604806,3.6597,4.6739
"97",-490.733449675957,3.06776030524093e-197,4.79070346081041,3.7459068369753,3.7385,4.7876
"98",-490.733449675957,3.06776030524093e-197,4.89982135534386,3.86198001956748,3.8629,4.9213
"99",-490.733449675957,3.06776030524093e-197,5.0441516998214,4.02391963031433,4.0305,5.0669
"100",-490.733449675957,3.06776030524093e-197,5.22567530158306,4.23392090570555,4.2373,5.2166
